Symbols,Company_Names,Sectors,Industry,Short_Names
M&M,Mahindra & Mahindra Limited,Automotive,Manufacturing,Ma_MaLi
M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services,Investment,Ma_MaFiSeLi
MAANALU,Maan Aluminium Limited,Manufacturing,Aluminium,MaAlLi
MACPOWER,Macpower CNC Machines Limited,Manufacturing,Machinery,MaCNMaLi
MADHAV,Madhav Marbles and Granites Limited,Manufacturing,Stones and Minerals,MaMaanGrLi
MADHUCON,Madhucon Projects Limited,Construction,Project Development,MaPrLi
MADRASFERT,Madras Fertilizers Limited,Manufacturing,Fertilizers,MaFeLi
MAGADSUGAR,Magadh Sugar & Energy Limited,Manufacturing,Sugar Production,MaSu_EnLi
MAGNUM,Magnum Ventures Limited,Manufacturing,Consumer Products,MaVeLi
MAHABANK,Bank of Maharashtra,Banking,Public Sector Banks,BaofMa
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,Manufacturing,Retail,MaRaApCoLi
MAHASTEEL,Mahamaya Steel Industries Limited,Manufacturing,Steel Production,MaStInLi
MAHEPC,Mahindra EPC Irrigation Limited,Manufacturing,Engineering Services,MaEPIrLi
MAHESHWARI,Maheshwari Logistics Limited,Logistics,Transport and Logistics,MaLoLi
MAHLIFE,Mahindra Lifespace Developers Limited,Real Estate,Property Development,MaLiDeLi
MAHLOG,Mahindra Logistics Limited,Logistics,Supply Chain Management,MaLoLi
MAHSCOOTER,Maharashtra Scooters Limited,Manufacturing,Automotive,MaScLi
MAHSEAMLES,Maharashtra Seamless Limited,Manufacturing,Steel Pipes,MaSeLi
MAITHANALL,Maithan Alloys Limited,Manufacturing,Alloys and Metals,MaAlLi
MALLCOM,Mallcom (India) Limited,Manufacturing,Safety Equipment,Ma_ILi
MALUPAPER,Malu Paper Mills Limited,Manufacturing,Paper Production,MaPaMiLi
MANAKALUCO,Manaksia Aluminium Company Limited,Manufacturing,Aluminium Products,MaAlCoLi
MANAKCOAT,Manaksia Coated Metals & Industries Limited,Manufacturing,Coated Products,MaCoMe_InLi
MANAKSIA,Manaksia Limited,Manufacturing,Diversified Products,MaLi
MANAKSTEEL,Manaksia Steels Limited,Manufacturing,Steel Production,MaStLi
MANALIPETC,Manali Petrochemicals Limited,Manufacturing,Petrochemicals,MaPeLi
MANAPPURAM,Manappuram Finance Limited,Financial Services,Non-Banking Financial Company,MaFiLi
MANGALAM,Mangalam Drugs And Organics Limited,Pharmaceuticals,Drugs and Chemicals,MaDrAnOrLi
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,Manufacturing,Fertilizers,MaCh_FeLi
MANGLMCEM,Mangalam Cement Limited,Manufacturing,Cement Production,MaCeLi
MANINDS,Man Industries (India) Limited,Manufacturing,Industrial Products,MaIn_ILi
MANINFRA,Man Infraconstruction Limited,Construction,Infrastructure Development,MaInLi
MANKIND,Mankind Pharma Limited,Pharmaceuticals,Healthcare Products,MaPhLi
MANOMAY,Manomay Tex India Limited,Manufacturing,Textiles,MaTeInLi
MANORAMA,Manorama Industries Limited,Manufacturing,Consumer Products,MaInLi
MANORG,Mangalam Organics Limited,Manufacturing,Organic Chemicals,MaOrLi
MANUGRAPH,Manugraph India Limited,Manufacturing,Printing and Publishing,MaInLi
MANYAVAR,Vedant Fashions Limited,Retail,Apparel,VeFaLi
MAPMYINDIA,C.E. Info Systems Limited,Technology,Geographic Information Systems,C.InSyLi
MARALOVER,Maral Overseas Limited,Manufacturing,Textiles,MaOvLi
MARATHON,Marathon Nextgen Realty Limited,Real Estate,Property Development,MaNeReLi
MARICO,Marico Limited,Consumer Goods,Personal Care Products,MaLi
MARINE,Marine Electricals (India) Limited,Manufacturing,Electrical Equipment,MaEl_ILi
MARKSANS,Marksans Pharma Limited,Pharmaceuticals,Drugs and Pharmaceuticals,MaPhLi
MARSHALL,Marshall Machines Limited,Manufacturing,Machinery,MaMaLi
MARUTI,Maruti Suzuki India Limited,Automotive,Cars,MaSuInLi
MASFIN,MAS Financial Services Limited,Financial Services,NBFC,MAFiSeLi
MASKINVEST,Mask Investments Limited,Financial Services,Investments,MaInLi
MASTEK,Mastek Limited,IT Services,Software Development,MaLi
MATRIMONY,Matrimony.Com Limited,Technology,Online Services,MaLi
MAWANASUG,Mawana Sugars Limited,Manufacturing,Sugar Production,MaSuLi
MAXESTATES,Max Estates Limited,Real Estate,Property Development,MaEsLi
MAXHEALTH,Max Healthcare Institute Limited,Healthcare,Hospital Services,MaHeInLi
MAXIND,Max India Limited,Manufacturing,Diversified Products,MaInLi
MAYURUNIQ,Mayur Uniquoters Ltd,Manufacturing,Automotive Interiors,MaUnLt
MAZDA,Mazda Limited,Automotive,Cars,MaLi
MAZDOCK,Mazagon Dock Shipbuilders Limited,Manufacturing,Shipbuilding,MaDoShLi
MBAPL,Madhya Bharat Agro Products Limited,Agriculture,Agro Products,MaBhAgPrLi
MBECL,Mcnally Bharat Engineering Company Limited,Engineering,Infrastructure,McBhEnCoLi
MBLINFRA,MBL Infrastructure Limited,Construction,Infrastructure Development,MBInLi
MCDOWELL-N,United Spirits Limited,Beverages,Alcoholic Beverages,UnSpLi
MCL,Madhav Copper Limited,Manufacturing,Copper Products,MaCoLi
MCLEODRUSS,Mcleod Russel India Limited,Agriculture,Tea Production,McRuInLi
MCX,Multi Commodity Exchange of India Limited,Financial Services,Commodity Trading,MuCoExofInLi
MEDANTA,Global Health Limited,Healthcare,Hospital Services,GlHeLi
MEDIASSIST,Medi Assist Healthcare Services Limited,Healthcare,Insurance Services,MeAsHeSeLi
MEDICAMEQ,Medicamen Biotech Limited,Pharmaceuticals,Biopharmaceuticals,MeBiLi
MEDICO,Medico Remedies Limited,Pharmaceuticals,Medicines,MeReLi
MEDPLUS,Medplus Health Services Limited,Healthcare,Pharmacy Services,MeHeSeLi
MEGASOFT,Megasoft Limited,IT Services,Software Development,MeLi
MEGASTAR,Megastar Foods Limited,Food & Beverage,Food Products,MeFoLi
MELSTAR,Melstar Information Technologies Limited,IT Services,IT Consulting,MeInTeLi
MENONBE,Menon Bearings Limited,Manufacturing,Bearings Production,MeBeLi
MEP,MEP Infrastructure Developers Limited,Infrastructure,Infrastructure Development,MEInDeLi
METALFORGE,Metalyst Forgings Limited,Manufacturing,Forgings,MeFoLi
METROBRAND,Metro Brands Limited,Retail,Footwear,MeBrLi
METROPOLIS,Metropolis Healthcare Limited,Healthcare,Diagnostic Services,MeHeLi
MFSL,Max Financial Services Limited,Financial Services,Insurance and Mutual Funds,MaFiSeLi
MGEL,Mangalam Global Enterprise Limited,Manufacturing,Diversified Products,MaGlEnLi
MGL,Mahanagar Gas Limited,Utilities,Gas Distribution,MaGaLi
MHLXMIRU,Mahalaxmi Rubtech Limited,Manufacturing,Rubber Products,MaRuLi
MHRIL,Mahindra Holidays & Resorts India Limited,Hospitality,Hotels and Resorts,MaHo_ReInLi
MICEL,MIC Electronics Limited,Manufacturing,Electronic Products,MIElLi
MIDHANI,Mishra Dhatu Nigam Limited,Manufacturing,Aerospace and Defense Materials,MiDhNiLi
MINDACORP,Minda Corporation Limited,Manufacturing,Auto Components,MiCoLi
MINDTECK,Mindteck (India) Limited,IT Services,Software Development,Mi_ILi
MIRCELECTR,MIRC Electronics Limited,Manufacturing,Consumer Electronics,MIElLi
MIRZAINT,Mirza International Limited,Manufacturing,Leather Products,MiInLi
MITCON,MITCON Consultancy & Engineering Services Limited,Consulting,Engineering and Consultancy,MICo_EnSeLi
MITTAL,Mittal Life Style Limited,Retail,Textiles and Garments,MiLiStLi
MKPL,M K Proteins Limited,Manufacturing,Food Processing,MKPrLi
MMFL,MM Forgings Limited,Manufacturing,Forgings,MMFoLi
MMP,MMP Industries Limited,Manufacturing,Industrial Products,MMInLi
MMTC,MMTC Limited,Trading,Minerals and Metals Trading,MMLi
MODIRUBBER,Modi Rubber Limited,Manufacturing,Rubber Products,MoRuLi
MODISONLTD,MODISON LIMITED,Manufacturing,Electrical Contacts,MOLI
MODTHREAD,Modern Threads (India) Limited,Manufacturing,Textile Industry,MoTh_ILi
MOHITIND,Mohit Industries Limited,Manufacturing,Engineering Products,MoInLi
MOIL,MOIL Limited,Mining,Manganese Ore Production,MOLi
MOKSH,Moksh Ornaments Limited,Manufacturing,Jewelry,MoOrLi
MOL,Meghmani Organics Limited,Manufacturing,Chemicals,MeOrLi
MOLDTECH,Mold-Tek Technologies Limited,Manufacturing,Packaging Solutions,MoTeLi
MOLDTKPAC,Mold-Tek Packaging Limited,Manufacturing,Packaging,MoPaLi
MONARCH,Monarch Networth Capital Limited,Financial Services,Investment Services,MoNeCaLi
MONTECARLO,Monte Carlo Fashions Limited,Consumer Goods,Apparel,MoCaFaLi
MORARJEE,Morarjee Textiles Limited,Textiles,Manufacturing,MoTeLi
MOREPENLAB,Morepen Laboratories Limited,Healthcare,Pharmaceuticals,MoLaLi
MOTHERSON,Samvardhana Motherson International Limited,Automotive,Manufacturing,SaMoInLi
MOTILALOFS,Motilal Oswal Financial Services Limited,Financial Services,Investment Services,MoOsFiSeLi
MOTISONS,Motisons Jewellers Limited,Consumer Goods,Retail,MoJeLi
MOTOGENFIN,The Motor & General Finance Limited,Financial Services,Investment Services,ThMo_GeFiLi
MPHASIS,MphasiS Limited,IT Services,Software Development,MpLi
MPSLTD,MPS Limited,IT Services,Software Development,MPLi
MRF,MRF Limited,Automotive,Tyres,MRLi
MRO-TEK,MRO-TEK Realty Limited,Real Estate,Realty,MRReLi
MRPL,Mangalore Refinery and Petrochemicals Limited,Energy,Refining,MaReanPeLi
MSPL,MSP Steel & Power Limited,Manufacturing,Steel,MSSt_PoLi
MSTCLTD,MSTC Limited,Trading,E-commerce,MSLi
MSUMI,Motherson Sumi Wiring India Limited,Automotive,Wiring,MoSuWiInLi
MTARTECH,Mtar Technologies Limited,Aerospace,Manufacturing,MtTeLi
MTEDUCARE,MT Educare Limited,Education,Educational Services,MTEdLi
MTNL,Mahanagar Telephone Nigam Limited,Telecommunications,Telecom,MaTeNiLi
MUFIN,Mufin Green Finance Limited,Financial Services,Investment Services,MuGrFiLi
MUFTI,Credo Brands Marketing Limited,Consumer Goods,Retail,CrBrMaLi
MUKANDLTD,Mukand Limited,Manufacturing,Steel,MuLi
MUKKA,Mukka Proteins Limited,Food Processing,Manufacturing,MuPrLi
MUKTAARTS,Mukta Arts Limited,Entertainment,Media,MuArLi
MUNJALAU,Munjal Auto Industries Limited,Automotive,Manufacturing,MuAuInLi
MUNJALSHOW,Munjal Showa Limited,Automotive,Manufacturing,MuShLi
MURUDCERA,Murudeshwar Ceramics Limited,Manufacturing,Ceramics,MuCeLi
MUTHOOTCAP,Muthoot Capital Services Limited,Financial Services,Investment Services,MuCaSeLi
MUTHOOTFIN,Muthoot Finance Limited,Financial Services,Investment Services,MuFiLi
MUTHOOTMF,Muthoot Microfin Limited,Financial Services,Microfinance,MuMiLi
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,Consumer Goods,Retail,MaVaGeNJeLi
NACLIND,NACL Industries Limited,Chemicals,Fertilizers,NAInLi
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,Chemicals,Fertilizers,NaFeanChLi
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,Financial Services,Investment Services,NaCa_InLi
NAGREEKEXP,Nagreeka Exports Limited,Trading,Exports,NaExLi
NAHARCAP,Nahar Capital and Financial Services Limited,Financial Services,Investment Services,NaCaanFiSeLi
NAHARINDUS,Nahar Industrial Enterprises Limited,Manufacturing,Industrial Products,NaInEnLi
NAHARPOLY,Nahar Poly Films Limited,Manufacturing,Plastics,NaPoFiLi
NAHARSPING,Nahar Spinning Mills Limited,Textiles,Manufacturing,NaSpMiLi
NAM-INDIA,Nippon Life India Asset Management Limited,Financial Services,Asset Management,NiLiInAsMaLi
NARMADA,Narmada Agrobase Limited,Agriculture,Agro-products,NaAgLi
NATCOPHARM,Natco Pharma Limited,Healthcare,Pharmaceuticals,NaPhLi
NATHBIOGEN,Nath Bio-Genes (India) Limited,Healthcare,Biotechnology,NaBi_ILi
NATIONALUM,National Aluminium Company Limited,Metals,Aluminium,NaAlCoLi
NAUKRI,Info Edge (India) Limited,IT Services,Job Portals,InEd_ILi
NAVA,NAVA LIMITED,Diversified,Miscellaneous,NALI
NAVINFLUOR,Navin Fluorine International Limited,Chemicals,Fluorochemicals,NaFlInLi
NAVKARCORP,Navkar Corporation Limited,Transportation,Logistics,NaCoLi
NAVNETEDUL,Navneet Education Limited,Education,Educational Services,NaEdLi
NAZARA,Nazara Technologies Limited,Entertainment,Gaming,NaTeLi
NBCC,NBCC (India) Limited,Construction,Real Estate,NB_ILi
NBIFIN,N. B. I. Industrial Finance Company Limited,Financial Services,Investment Services,N.B.I.InFiCoLi
NCC,NCC Limited,Construction,Engineering,NCLi
NCLIND,NCL Industries Limited,Manufacturing,Building Materials,NCInLi
NDGL,Naga Dhunseri Group Limited,Diversified,Miscellaneous,NaDhGrLi
NDL,Nandan Denim Limited,Textiles,Denim Manufacturing,NaDeLi
NDLVENTURE,NDL Ventures Limited,Investment,Venture Capital,NDVeLi
NDRAUTO,Ndr Auto Components Limited,Automotive,Manufacturing,NdAuCoLi
NDTV,New Delhi Television Limited,Media,Broadcasting,NeDeTeLi
NECCLTD,North Eastern Carrying Corporation Limited,Logistics,Transportation,NoEaCaCoLi
NECLIFE,Nectar Lifesciences Limited,Healthcare,Pharmaceuticals,NeLiLi
NELCAST,Nelcast Limited,Manufacturing,Casting,NeLi
NELCO,NELCO Limited,Manufacturing,Electronics,NELi
NEOGEN,Neogen Chemicals Limited,Chemicals,Fine Chemicals,NeChLi
NESCO,Nesco Limited,Real Estate,Infrastructure,NeLi
NESTLEIND,Nestle India Limited,Food Processing,Food,NeInLi
NETWEB,Netweb Technologies India Limited,IT Services,Software Development,NeTeInLi
NETWORK18,Network18 Media & Investments Limited,Media,Broadcasting,NeMe_InLi
NEULANDLAB,Neuland Laboratories Limited,Healthcare,Pharmaceuticals,NeLaLi
NEWGEN,Newgen Software Technologies Limited,IT Services,Software Development,NeSoTeLi
NEXTMEDIA,Next Mediaworks Limited,Media,Broadcasting,NeMeLi
NFL,National Fertilizers Limited,Chemicals,Fertilizers,NaFeLi
NGIL,Nakoda Group of Industries Limited,Diversified,Miscellaneous,NaGrofInLi
NGLFINE,NGL Fine-Chem Limited,Chemicals,Fine Chemicals,NGFiLi
NH,Narayana Hrudayalaya Ltd.,Healthcare,Hospitals,NaHrLt
NHPC,NHPC Limited,Energy,Hydropower,NHLi
NIACL,The New India Assurance Company Limited,Financial Services,Insurance,ThNeInAsCoLi
NIBL,NRB Industrial Bearings Limited,Manufacturing,Bearings,NRInBeLi
NIITLTD,NIIT Limited,Education,Educational Services,NILi
NIITMTS,NIIT Learning Systems Limited,Education,Educational Services,NILeSyLi
NILAINFRA,Nila Infrastructures Limited,Infrastructure,Construction,NiInLi
NILASPACES,Nila Spaces Limited,Real Estate,Real Estate Development,NiSpLi
NILKAMAL,Nilkamal Limited,Consumer Goods,Furniture,NiLi
NINSYS,NINtec Systems Limited,IT Services,Software Development,NISyLi
NIPPOBATRY,Indo-National Limited,Manufacturing,Batteries,InLi
NIRAJ,Niraj Cement Structurals Limited,Construction,Building Materials,NiCeStLi
NIRAJISPAT,Niraj Ispat Industries Limited,Manufacturing,Steel,NiIsInLi
NITCO,Nitco Limited,Manufacturing,Tiles,NiLi
NITINSPIN,Nitin Spinners Limited,Textiles,Manufacturing,NiSpLi
NITIRAJ,Nitiraj Engineers Limited,Engineering,Manufacturing,NiEnLi
NKIND,NK Industries Limited,Manufacturing,Industrial Products,NKInLi
NLCINDIA,NLC India Limited,Energy,Coal Mining,NLInLi
NMDC,NMDC Limited,Mining,Iron Ore,NMLi
NOCIL,NOCIL Limited,Chemicals,Specialty Chemicals,NOLi
NOIDATOLL,Noida Toll Bridge Company Limited,Infrastructure,Toll Roads,NoToBrCoLi
NORBTEAEXP,Norben Tea & Exports Limited,Food Processing,Beverages,NoTe_ExLi
NOVAAGRI,Nova Agritech Limited,Agriculture,Agro-products,NoAgLi
NRAIL,N R Agarwal Industries Limited,Manufacturing,Paper,NRAgInLi
NRBBEARING,NRB Bearing Limited,Manufacturing,Bearings,NRBeLi
NRL,Nupur Recyclers Limited,Recycling,Waste Management,NuReLi
NSIL,Nalwa Sons Investments Limited,Financial Services,Investment Services,NaSoInLi
NSLNISP,NMDC Steel Limited,Metals,Steel Production,NMStLi
NTL,Neueon Towers Limited,Telecommunications,Tower Infrastructure,NeToLi
NTPC,NTPC Limited,Energy,Electric Utilities,NTLi
NUCLEUS,Nucleus Software Exports Limited,Technology,Software Development,NuSoExLi
NURECA,Nureca Limited,Healthcare,E-Commerce,NuLi
NUVAMA,Nuvama Wealth Management Limited,Financial Services,Wealth Management,NuWeMaLi
NUVOCO,Nuvoco Vistas Corporation Limited,Materials,Cement Production,NuViCoLi
NYKAA,FSN E-Commerce Ventures Limited,E-Commerce,Online Retail,FSE-VeLi
OAL,Oriental Aromatics Limited,Chemicals,Specialty Chemicals,OrArLi
OBCL,Orissa Bengal Carrier Limited,Transportation,Logistics,OrBeCaLi
OBEROIRLTY,Oberoi Realty Limited,Real Estate,Property Development,ObReLi
OCCL,Oriental Carbon & Chemicals Limited,Chemicals,Carbon Products,OrCa_ChLi
OFSS,Oracle Financial Services Software Limited,Technology,Financial Software,OrFiSeSoLi
OIL,Oil India Limited,Energy,Oil & Gas Exploration,OiInLi
OILCOUNTUB,Oil Country Tubular Limited,Manufacturing,Oilfield Services,OiCoTuLi
OLECTRA,Olectra Greentech Limited,Technology,Electric Vehicles,OlGrLi
OMAXAUTO,Omax Autos Limited,Automotive,Manufacturing,OmAuLi
OMAXE,Omaxe Limited,Real Estate,Property Development,OmLi
OMINFRAL,OM INFRA LIMITED,Infrastructure,Project Development,OMINLI
OMKARCHEM,Omkar Speciality Chemicals Limited,Chemicals,Specialty Chemicals,OmSpChLi
ONELIFECAP,Onelife Capital Advisors Limited,Financial Services,Investment Advisory,OnCaAdLi
ONEPOINT,One Point One Solutions Limited,IT Services,IT Consulting,OnPoOnSoLi
ONGC,Oil & Natural Gas Corporation Limited,Energy,Oil & Gas Exploration,Oi_NaGaCoLi
ONMOBILE,OnMobile Global Limited,Telecommunications,Mobile Services,OnGlLi
ONWARDTEC,Onward Technologies Limited,Technology,IT Services,OnTeLi
OPTIEMUS,Optiemus Infracom Limited,Telecommunications,Device Manufacturing,OpInLi
ORBTEXP,Orbit Exports Limited,Manufacturing,Textiles,OrExLi
ORCHPHARMA,Orchid Pharma Limited,Pharmaceuticals,Pharma Manufacturing,OrPhLi
ORICONENT,Oricon Enterprises Limited,Manufacturing,Diversified Manufacturing,OrEnLi
ORIENTALTL,Oriental Trimex Limited,Chemicals,Import/Export,OrTrLi
ORIENTBELL,Orient Bell Limited,Manufacturing,Ceramics Production,OrBeLi
ORIENTCEM,Orient Cement Limited,Materials,Cement Production,OrCeLi
ORIENTCER,ORIENT CERATECH LIMITED,Manufacturing,Ceramics,ORCELI
ORIENTELEC,Orient Electric Limited,Electronics,Electrical Equipment,OrElLi
ORIENTHOT,Oriental Hotels Limited,Hospitality,Hotel Management,OrHoLi
ORIENTLTD,Orient Press Limited,Manufacturing,Printing,OrPrLi
ORIENTPPR,Orient Paper & Industries Limited,Manufacturing,Paper Products,OrPa_InLi
ORISSAMINE,The Orissa Minerals Development Company Limited,Mining,Mineral Development,ThOrMiDeCoLi
ORTEL,Ortel Communications Limited,Telecommunications,Telecommunications Services,OrCoLi
ORTINLAB,Ortin Laboratories Limited,Pharmaceuticals,Healthcare,OrLaLi
OSIAHYPER,Osia Hyper Retail Limited,Retail,Hypermarket,OsHyReLi
OSWALAGRO,Oswal Agro Mills Limited,Agriculture,Agro-based Industries,OsAgMiLi
OSWALGREEN,Oswal Greentech Limited,Chemicals,Green Energy Solutions,OsGrLi
OSWALSEEDS,Shree Oswal Seeds And Chemicals Limited,Agriculture,Seed Production,ShOsSeAnChLi
PAGEIND,Page Industries Limited,Manufacturing,Apparel Manufacturing,PaInLi
PAISALO,Paisalo Digital Limited,Financial Services,Microfinance,PaDiLi
PAKKA,PAKKA LIMITED,Manufacturing,Construction Materials,PALI
PALASHSECU,Palash Securities Limited,Financial Services,Investment Services,PaSeLi
PALREDTEC,Palred Technologies Limited,Technology,Electronics Manufacturing,PaTeLi
PANACEABIO,Panacea Biotec Limited,Pharmaceuticals,Biotech Solutions,PaBiLi
PANACHE,Panache Digilife Limited,Technology,Digital Services,PaDiLi
PANAMAPET,Panama Petrochem Limited,Chemicals,Petrochemicals,PaPeLi
PANSARI,Pansari Developers Limited,Real Estate,Property Development,PaDeLi
PAR,Par Drugs And Chemicals Limited,Pharmaceuticals,Chemical Manufacturing,PaDrAnChLi
PARACABLES,Paramount Communications Limited,Telecommunications,Cable Manufacturing,PaCoLi
PARADEEP,Paradeep Phosphates Limited,Chemicals,Fertilizers,PaPhLi
PARAGMILK,Parag Milk Foods Limited,Food,Dairy Products,PaMiFoLi
PARAS,Paras Defence and Space Technologies Limited,Defence,Aerospace,PaDeanSpTeLi
PARASPETRO,Paras Petrofils Limited,Textiles,Polyester Production,PaPeLi
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,Hospitality,Hotel Management,ApSuPaHoLi
PARSVNATH,Parsvnath Developers Limited,Real Estate,Property Development,PaDeLi
PASUPTAC,Pasupati Acrylon Limited,Textiles,Acrylic Fiber Production,PaAcLi
PATANJALI,Patanjali Foods Limited,Food,Consumer Goods,PaFoLi
PATELENG,Patel Engineering Limited,Engineering,Infrastructure Projects,PaEnLi
PATINTLOG,Patel Integrated Logistics Limited,Logistics,Supply Chain Management,PaInLoLi
PAVNAIND,Pavna Industries Limited,Manufacturing,Industrial Products,PaInLi
PAYTM,One 97 Communications Limited,Financial Services,Digital Payments,On97CoLi
PCBL,PCBL LIMITED,Chemicals,Carbon Products,PCLI
PCJEWELLER,PC Jeweller Limited,Retail,Jewelry,PCJeLi
PDMJEPAPER,Pudumjee Paper Products Limited,Manufacturing,Paper Production,PuPaPrLi
PDSL,PDS Limited,Retail,Fashion Retail,PDLi
PEARLPOLY,Pearl Polymers Limited,Chemicals,Polymer Manufacturing,PePoLi
PEL,Piramal Enterprises Limited,Pharmaceuticals,Diversified Investments,PiEnLi
PENIND,Pennar Industries Limited,Manufacturing,Steel Products,PeInLi
PENINLAND,Peninsula Land Limited,Real Estate,Property Development,PeLaLi
PERSISTENT,Persistent Systems Limited,Technology,IT Services,PeSyLi
PETRONET,Petronet LNG Limited,Energy,Natural Gas Distribution,PeLNLi
PFC,Power Finance Corporation Limited,Financial Services,Infrastructure Financing,PoFiCoLi
PFIZER,Pfizer Limited,Pharmaceuticals,Biopharmaceuticals,PfLi
PFOCUS,Prime Focus Limited,Media,Entertainment Services,PrFoLi
PFS,PTC India Financial Services Limited,Financial Services,Infrastructure Financing,PTInFiSeLi
PGEL,PG Electroplast Limited,Manufacturing,Plastic Products,PGElLi
PGHH,Procter & Gamble Hygiene and Health Care Limited,Consumer Goods,Personal Care Products,Pr_GaHyanHeCaLi
PGHL,Procter & Gamble Health Limited,Consumer Goods,Health Care Products,Pr_GaHeLi
PGIL,Pearl Global Industries Limited,Manufacturing,Textiles,PeGlInLi
PHOENIXLTD,The Phoenix Mills Limited,Real Estate,Hospitality,ThPhMiLi
PIDILITIND,Pidilite Industries Limited,Chemicals,Adhesives,PiInLi
PIGL,Power & Instrumentation (Gujarat) Limited,Manufacturing,Instrumentation,Po_In_GLi
PIIND,PI Industries Limited,Chemicals,Agrochemicals,PIInLi
PILANIINVS,Pilani Investment and Industries Corporation Limited,Financial Services,Investment Management,PiInanInCoLi
PILITA,PIL ITALICA LIFESTYLE LIMITED,Consumer Goods,Home Products,PIITLILI
PIONEEREMB,Pioneer Embroideries Limited,Manufacturing,Textiles,PiEmLi
PITTIENG,Pitti Engineering Limited,Manufacturing,Engineering Solutions,PiEnLi
PIXTRANS,Pix Transmissions Limited,Manufacturing,Automotive Parts,PiTrLi
PKTEA,The Peria Karamalai Tea & Produce Company Limited,Agriculture,Tea Production,ThPeKaTe_PrCoLi
PLASTIBLEN,Plastiblends India Limited,Manufacturing,Plastics,PlInLi
PLATIND,Platinum Industries Limited,Manufacturing,Chemicals,PlInLi
PLAZACABLE,Plaza Wires Limited,Manufacturing,Electrical Wires,PlWiLi
PNB,Punjab National Bank,Financial Services,Banking,PuNaBa
PNBGILTS,PNB Gilts Limited,Financial Services,Government Securities,PNGiLi
PNBHOUSING,PNB Housing Finance Limited,Financial Services,Housing Finance,PNHoFiLi
PNC,Pritish Nandy Communications Limited,Media,Entertainment and Media,PrNaCoLi
PNCINFRA,PNC Infratech Limited,Infrastructure,Construction and Engineering,PNInLi
POCL,Pondy Oxides & Chemicals Limited,Chemicals,Manufacturing and Chemicals,PoOx_ChLi
PODDARHOUS,Poddar Housing and Development Limited,Real Estate,Housing Development,PoHoanDeLi
PODDARMENT,Poddar Pigments Limited,Chemicals,Pigments and Dyes,PoPiLi
POKARNA,Pokarna Limited,Manufacturing,Stone and Granite,PoLi
POLICYBZR,PB Fintech Limited,Financial Services,Fintech,PBFiLi
POLYCAB,Polycab India Limited,Manufacturing,Wires and Cables,PoInLi
POLYMED,Poly Medicure Limited,Healthcare,Medical Devices,PoMeLi
POLYPLEX,Polyplex Corporation Limited,Manufacturing,Plastics,PoCoLi
PONNIERODE,Ponni Sugars (Erode) Limited,Food & Beverages,Sugar Production,PoSu_ELi
POONAWALLA,Poonawalla Fincorp Limited,Financial Services,Non-Banking Financial Company (NBFC),PoFiLi
POWERGRID,Power Grid Corporation of India Limited,Utilities,Electric Utilities,PoGrCoofInLi
POWERINDIA,Hitachi Energy India Limited,Electrical Equipment,Energy Solutions,HiEnInLi
POWERMECH,Power Mech Projects Limited,Infrastructure,Engineering and Construction,PoMePrLi
PPAP,PPAP Automotive Limited,Automotive,Auto Parts Manufacturing,PPAuLi
PPL,Prakash Pipes Limited,Manufacturing,Pipes and Fittings,PrPiLi
PPLPHARMA,Piramal Pharma Limited,Healthcare,Pharmaceuticals,PiPhLi
PRAENG,Prajay Engineers Syndicate Limited,Infrastructure,Engineering and Construction,PrEnSyLi
PRAJIND,Praj Industries Limited,Manufacturing,Bioenergy and Process Equipment,PrInLi
PRAKASH,Prakash Industries Limited,Manufacturing,Steel and Manufacturing,PrInLi
PRAKASHSTL,Prakash Steelage Limited,Manufacturing,Steel Products,PrStLi
PRAXIS,Praxis Home Retail Limited,Retail,Home Retail,PrHoReLi
PRECAM,Precision Camshafts Limited,Manufacturing,Automotive Components,PrCaLi
PRECOT,Precot Limited,Textiles,Cotton and Textile,PrLi
PRECWIRE,Precision Wires India Limited,Manufacturing,Wires and Cables,PrWiInLi
PREMEXPLN,Premier Explosives Limited,Manufacturing,Explosives and Chemicals,PrExLi
PREMIER,Premier Limited,Manufacturing,Consumer Goods,PrLi
PREMIERPOL,Premier Polyfilm Limited,Manufacturing,Packaging Solutions,PrPoLi
PRESTIGE,Prestige Estates Projects Limited,Real Estate,Real Estate Development,PrEsPrLi
PRICOLLTD,Pricol Limited,Automotive,Auto Components,PrLi
PRIMESECU,Prime Securities Limited,Financial Services,Brokerage and Investment,PrSeLi
PRINCEPIPE,Prince Pipes And Fittings Limited,Manufacturing,Pipes and Fittings,PrPiAnFiLi
PRITI,Priti International Limited,Manufacturing,Consumer Goods,PrInLi
PRITIKAUTO,Pritika Auto Industries Limited,Automotive,Auto Components,PrAuInLi
PRIVISCL,Privi Speciality Chemicals Limited,Chemicals,Speciality Chemicals,PrSpChLi
PROZONER,Prozone Realty Limited,Real Estate,Realty and Development,PrReLi
PRSMJOHNSN,Prism Johnson Limited,Manufacturing,Building Materials,PrJoLi
